formula,P,Tc,AD
HfH10,500,723,-1
HfH10,450,718,-1
HfH10,400,713,-1
HfH10,350,708,-1
HfH10,300,702,-1
HfH10,250,697,-1
HfH9,500,696,-1
HfH9,450,692,-1
HfH10,200,692,-1
HfH9,400,687,-1
HfH10,150,686,-1
HfH9,350,682,-1
HfH10,100,679,-1
HfH9,300,677,-1
HfH9,250,672,-1
HfH10,50,672,-1
HfH9,200,667,-1
TaH10,500,665,-1
TmH9,500,665,-1
HfH8,500,664,-1
HfH9,150,662,-1
ErH9,500,661,-1
TmH10,500,660,-1
HfH8,450,660,-1
GdH9,500,659,1
GdH10,500,659,1
TaH10,450,658,-1
HfH9,100,657,-1
TmH9,450,656,-1
ErH10,500,656,-1
HfH8,400,656,-1
ErH9,450,653,-1
GdH10,450,652,1
HfH9,50,651,-1
TaH10,400,651,-1
TmH10,450,651,-1
HfH8,350,650,-1
GdH9,450,649,1
ErH10,450,648,-1
TmH9,400,648,-1
HoH9,500,646,1
HfH8,300,645,-1
ErH9,400,643,-1
TmH10,400,643,-1
TaH10,350,643,-1
HoH10,500,642,1
GdH10,400,642,1
DyH10,500,641,1
HfH8,250,640,-1
DyH9,500,640,1
GdH9,400,640,1
TmH9,350,639,-1
ErH10,400,639,-1
HoH9,450,636,1
TaH10,300,636,-1
HfH8,200,634,-1
TmH10,350,634,-1
HoH10,450,634,1
DyH10,450,633,1
ErH9,350,633,-1
ErH10,350,631,-1
GdH10,350,631,1
GdH9,350,630,1
HfH8,150,629,-1
TaH10,250,629,-1
TmH9,300,629,-1
DyH9,450,627,1
HoH9,400,627,1
TmH10,300,626,-1
HoH10,400,625,1
TmH8,500,625,-1
HfH8,100,624,-1
TaH10,200,623,-1
DyH10,400,623,1
ErH10,300,622,-1
ErH9,300,621,-1
HfH8,50,619,-1
TbH10,500,619,1
GdH10,300,618,1
TmH9,250,618,-1
HoH10,350,617,1
TmH10,250,617,-1
TmH8,450,616,-1
TaH10,150,616,-1
HoH9,350,615,1
TaH9,500,614,-1
ErH10,250,613,1
TbH9,500,612,1
GdH9,300,612,1
DyH9,400,611,1
DyH10,350,610,1
TaH10,100,609,-1
ErH8,500,609,-1
ErH9,250,609,-1
HfH7,500,608,-1
HoH10,300,608,1
TmH8,400,608,-1
TaH9,450,608,-1
TbH10,450,606,1
TmH9,200,605,-1
TmH10,200,605,-1
HfH7,450,604,-1
GdH10,250,602,1
TaH9,400,601,-1
TaH10,50,601,-1
HfH7,400,600,-1
ErH10,200,599,-1
ErH8,450,599,-1
HoH9,300,598,1
TmH8,350,596,-1
ErH9,200,596,-1
TbH9,450,596,1
TaH9,350,595,-1
HfH7,350,595,-1
LuH10,500,594,-1
GdH9,250,594,1
HoH10,250,594,1
DyH10,300,593,1
TmH9,150,593,-1
DyH9,350,592,1
TmH10,150,592,-1
HfH7,300,591,-1
TbH10,400,590,1
TaH9,300,589,-1
GdH8,500,588,1
ErH8,400,588,-1
HfH7,250,587,-1
LuH10,450,587,-1
GdH10,200,585,1
H10W,500,585,-1
ErH10,150,584,-1
TaH9,250,584,-1
TmH8,300,584,-1
HfH7,200,582,-1
HoH9,250,580,1
LuH10,400,580,-1
HoH8,500,580,-1
H10W,450,580,-1
TaH9,200,579,-1
TmH9,100,579,-1
ErH9,150,578,-1
HfH7,150,577,-1
HoH10,200,577,1
TbH9,400,577,1
TmH10,100,577,-1
GdH9,200,576,1
ErH8,350,575,-1
DyH10,250,575,1
H10W,400,574,-1
TaH9,150,574,-1
DyH9,300,574,1
TaH8,500,573,-1
GdH8,450,573,1
LuH10,350,573,-1
HfH7,100,573,-1
TbH10,350,572,1
TmH8,250,571,-1
ErH10,100,569,-1
TaH9,100,569,-1
H10W,350,569,-1
HfH7,50,568,-1
HoH8,450,568,-1
GdH10,150,567,1
LuH10,300,567,-1
TaH8,450,567,-1
H10W,300,564,-1
