formula,P,Tc,AD
YH10,500,282,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,450,282,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,400,282,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,500,266,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,450,266,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,400,266,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,350,258,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,150,254,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,300,254,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,350,254,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,150,254,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,200,254,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,250,254,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,200,251,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,100,251,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,250,251,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,300,250,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,100,247,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,500,241,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,450,241,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,400,241,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,100,238,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LaH10,450,236,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LaH10,500,236,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LaH10,400,236,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,150,234,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,350,230,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,450,229,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,500,229,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH9,50,229,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,400,229,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,200,228,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,300,228,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,250,228,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
DyH10,450,227,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
DyH10,400,227,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
DyH10,500,227,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH10,50,225,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH6,50,225,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,500,224,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH10,400,224,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,450,224,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,400,224,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH10,450,224,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH10,500,224,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,500,224,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,450,224,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,400,224,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,400,223,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,450,223,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,500,223,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,150,222,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,400,221,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,450,221,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH10,400,221,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH10,450,221,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH10,500,221,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,500,221,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,200,220,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,250,220,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,300,219,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,350,219,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,500,218,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,400,218,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,100,218,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,450,218,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,150,217,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,400,217,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,500,217,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,450,217,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LaH10,350,217,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,350,215,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,200,215,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LaH10,250,215,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,250,215,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LaH10,200,215,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,300,215,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LaH10,300,213,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,100,213,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH9,450,208,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH9,400,208,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH9,450,208,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH9,400,208,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH9,500,208,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH9,500,208,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,100,208,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TbH10,400,207,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TbH10,450,207,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TbH10,500,207,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,350,207,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
GdH10,500,206,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
GdH10,450,206,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,150,206,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
GdH10,400,206,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,350,205,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,250,205,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,350,205,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH10,100,205,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH9,500,205,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH9,450,205,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH9,400,205,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,200,205,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,150,204,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH9,450,204,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,300,204,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LaH10,150,204,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
DyH10,100,204,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH9,500,204,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH9,400,204,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,250,203,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,200,203,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
DyH10,350,203,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH7,100,203,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH10,300,203,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
DyH10,250,201,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,100,201,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH10,150,201,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
DyH10,200,201,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,150,201,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,300,201,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YbH10,500,200,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YbH10,400,200,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YbH10,450,200,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,350,200,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
PmH10,400,200,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
PmH10,450,200,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
PmH10,500,200,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
DyH10,150,200,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,250,199,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH10,200,199,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,200,199,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
DyH10,300,199,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH10,250,199,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH9,450,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,150,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
GdH9,500,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,300,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
GdH9,450,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
GdH9,400,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
YH8,100,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,100,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH9,400,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH9,500,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH10,350,198,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH9,100,197,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,200,197,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,350,197,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
DyH9,400,197,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
DyH9,450,197,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
DyH9,500,197,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,250,197,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH9,50,196,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH10,300,196,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,250,196,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH10,350,196,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,150,196,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
LuH10,200,196,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH10,300,194,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH10,250,194,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH9,100,194,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ErH10,300,194,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH10,200,194,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH9,150,194,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TmH9,100,193,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH9,350,193,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
CaH9,350,193,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TbH9,500,192,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SmH10,400,192,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SmH10,450,192,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TbH9,400,192,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
TbH9,450,192,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
SmH10,500,192,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH9,250,191,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
ZrH10,50,191,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
HoH9,200,191,[1. 1. 1. 1. 1. 1. 1. 1. 1. 1.]
