,TRUE if outlier samples
sample_1,True
sample_2,True
sample_3,True
sample_4,True
sample_5,True
sample_6,True
sample_7,True
sample_8,True
sample_9,True
sample_10,True
sample_11,True
sample_12,True
sample_13,True
sample_14,True
sample_15,True
sample_16,False
sample_17,False
sample_18,False
sample_19,False
sample_20,False
sample_21,False
sample_22,False
sample_23,False
sample_24,False
sample_25,False
sample_26,False
sample_27,False
sample_28,False
sample_29,False
sample_30,False
sample_31,False
sample_32,False
sample_33,False
sample_34,False
sample_35,False
sample_36,False
sample_37,False
sample_38,False
sample_39,False
sample_40,False
sample_41,False
sample_42,False
sample_43,False
sample_44,False
sample_45,False
sample_46,False
sample_47,False
sample_48,False
sample_49,False
sample_50,False
sample_51,False
sample_52,False
sample_53,False
sample_54,False
sample_55,False
sample_56,False
sample_57,False
sample_58,False
sample_59,False
sample_60,False
sample_61,False
sample_62,False
sample_63,False
sample_64,False
sample_65,False
sample_66,False
sample_67,False
sample_68,False
sample_69,False
sample_70,False
sample_71,False
sample_72,False
sample_73,False
sample_74,False
sample_75,False
sample_76,False
sample_77,False
sample_78,False
sample_79,False
sample_80,False
sample_81,False
sample_82,False
sample_83,False
sample_84,False
sample_85,False
sample_86,False
sample_87,False
sample_88,False
sample_89,False
sample_90,False
sample_91,False
sample_92,False
sample_93,False
sample_94,False
sample_95,False
sample_96,False
sample_97,False
sample_98,False
sample_99,False
sample_100,False
