 formula,group,  P [GPa],  lambda,  w_log [K],   mu,     Tc [K], reference
   S2H5 ,    1,      100,  1.0786,     902.09, 0.17,   49.5486 , https://doi.org/10.1038/srep23160
   S2H5 ,    1,      112,  1.1857,     897.9 , 0.17,   58.3099 , https://doi.org/10.1038/srep23160
   S2H5 ,    1,      120,  1.2390,     907.0 , 0.17,   63.2085 , https://doi.org/10.1038/srep23160
   S2H5 ,    1,      130,  1.2417,     950.7 , 0.17,   66.4768 , https://doi.org/10.1038/srep23160
   S2H5 ,    1,      140,  1.2597,     968.93, 0.17,   69.2659 , https://doi.org/10.1038/srep23160
   S2H5 ,    1,      150,  1.3581,     900.87, 0.17,   71.8175 , https://doi.org/10.1038/srep23160
    SH3 ,  160,      130,    2.07,     1125.1, 0.13,  155      , https://doi.org/10.1038/srep06968
    SH3 ,  160,      130,    2.07,     1125.1, 0.10,  166      , https://doi.org/10.1038/srep06968
    SH3 ,  229,      200,    2.19,     1334.6, 0.13,  191      , https://doi.org/10.1038/srep06968
    SH3 ,  229,      200,    2.19,     1334.6, 0.10,  204      , https://doi.org/10.1038/srep06968
    SH3 ,  229,      250,        ,           , 0.13,  184      , https://doi.org/10.1038/srep06968
    SH3 ,  229,      300,        ,           , 0.13,  179      , https://doi.org/10.1038/srep06968
    SH2 ,    2,      130,        ,           , 0.13,   33.0104 , https://doi.org/10.1063/1.4874158
    SH2 ,    2,      140,        ,           , 0.13,   40      , https://doi.org/10.1063/1.4874158
    SH2 ,    2,      150,        ,           , 0.13,   56.1245 , https://doi.org/10.1063/1.4874158
    SH2 ,    2,      158,        ,           , 0.13,   60.2076 , https://doi.org/10.1063/1.4874158
    SH2 ,   64,      160,        ,           , 0.13,   82.1453 , https://doi.org/10.1063/1.4874158
    SH2 ,   64,      170,        ,           , 0.13,   78.1315 , https://doi.org/10.1063/1.4874158
    SH2 ,   64,      180,        ,           , 0.13,   68.2353 , https://doi.org/10.1063/1.4874158
   S3H4 ,   62,      140,    0.42,       834 , 0.16,    0.75   , https://doi.org/10.1103/PhysRevB.93.020103
   S2H  ,   15,      200,    0.86,    657.72 , 0.16,   23.4    , https://doi.org/10.1103/PhysRevLett.114.157004
